episode,r,l,is_success,dead_loop_events,wall_collision_count
1518.0,-204.00000000000006,256.0,0.0,231.0,62.0
1519.0,-187.8,256.0,0.0,221.0,67.0
1520.0,-188.8,256.0,0.0,234.0,66.0
1521.0,-191.8,256.0,0.0,234.0,63.0
1522.0,-197.40000000000003,256.0,0.0,228.0,55.0
1523.0,-201.60000000000002,256.0,0.0,212.0,46.0
1524.0,-196.00000000000006,256.0,0.0,234.0,62.0
1525.0,-205.0,256.0,0.0,216.0,61.0
1526.0,-199.20000000000005,256.0,0.0,234.0,52.0
1527.0,-200.60000000000005,256.0,0.0,213.0,49.0
1528.0,-199.79999999999998,256.0,0.0,224.0,57.0
1529.0,-180.59999999999997,256.0,0.0,217.0,67.0
1530.0,-180.60000000000002,256.0,0.0,234.0,71.0
1531.0,-191.0,256.0,0.0,225.0,63.0
1532.0,-192.80000000000004,256.0,0.0,231.0,48.0
1533.0,-187.0,256.0,0.0,234.0,69.0
1534.0,-207.79999999999984,256.0,0.0,164.0,55.0
1535.0,-208.0,256.0,0.0,209.0,40.0
1536.0,-199.0,256.0,0.0,234.0,51.0
1537.0,-203.99999999999994,256.0,0.0,233.0,52.0
1538.0,-217.79999999999998,256.0,0.0,234.0,34.0
1539.0,-214.20000000000002,256.0,0.0,222.0,43.0
1540.0,-196.60000000000002,256.0,0.0,234.0,54.0
1541.0,-201.79999999999993,256.0,0.0,203.0,57.0
1542.0,-209.6,256.0,0.0,234.0,52.0
1543.0,-209.2000000000001,256.0,0.0,225.0,36.0
1544.0,-201.99999999999997,256.0,0.0,234.0,54.0
1545.0,-226.4000000000001,256.0,0.0,170.0,34.0
1546.0,-207.6,256.0,0.0,225.0,54.0
1547.0,-195.80000000000004,256.0,0.0,209.0,53.0
1548.0,-185.20000000000005,256.0,0.0,224.0,61.0
1549.0,-201.6,256.0,0.0,190.0,53.0
1550.0,-190.39999999999998,256.0,0.0,234.0,60.0
1551.0,-203.8,256.0,0.0,213.0,53.0
1552.0,-205.8,256.0,0.0,234.0,49.0
1553.0,-194.0,256.0,0.0,213.0,54.0
1554.0,-204.0,256.0,0.0,234.0,52.0
1555.0,-200.0,256.0,0.0,234.0,56.0
1556.0,-193.20000000000005,256.0,0.0,220.0,58.0
1557.0,-197.0,256.0,0.0,232.0,49.0
1558.0,-210.6,256.0,0.0,205.0,45.0
1559.0,-226.00000000000003,256.0,0.0,198.0,36.0
1560.0,-189.8,256.0,0.0,234.0,65.0
1561.0,-208.40000000000003,256.0,0.0,233.0,47.0
1562.0,-205.99999999999994,256.0,0.0,219.0,48.0
1563.0,-208.79999999999995,256.0,0.0,218.0,46.0
1564.0,-227.40000000000003,256.0,0.0,208.0,34.0
1565.0,-211.00000000000003,256.0,0.0,218.0,46.0
1566.0,-188.6,256.0,0.0,211.0,67.0
1567.0,-199.4,256.0,0.0,193.0,43.0
1568.0,-190.60000000000002,256.0,0.0,234.0,60.0
1569.0,-202.0,256.0,0.0,233.0,53.0
1570.0,-202.79999999999998,256.0,0.0,213.0,51.0
1571.0,-187.60000000000002,256.0,0.0,234.0,62.0
1572.0,-205.99999999999997,256.0,0.0,223.0,50.0
1573.0,-198.39999999999998,256.0,0.0,234.0,48.0
1574.0,-197.20000000000002,256.0,0.0,220.0,54.0
1575.0,-191.39999999999998,256.0,0.0,227.0,60.0
1576.0,-223.4,256.0,0.0,164.0,42.0
1577.0,-192.60000000000002,256.0,0.0,222.0,66.0
1578.0,-202.79999999999998,256.0,0.0,234.0,60.0
1579.0,-225.79999999999998,256.0,0.0,232.0,43.0
1580.0,-207.8,256.0,0.0,234.0,47.0
1581.0,-224.79999999999995,256.0,0.0,229.0,54.0
1582.0,-208.80000000000004,256.0,0.0,224.0,48.0
1583.0,-208.4,256.0,0.0,231.0,44.0
1584.0,-201.6,256.0,0.0,234.0,51.0
1585.0,-197.39999999999998,256.0,0.0,222.0,49.0
1586.0,-194.60000000000002,256.0,0.0,234.0,59.0
1587.0,-207.6,256.0,0.0,221.0,42.0
1588.0,-212.2,256.0,0.0,205.0,43.0
1589.0,-216.79999999999998,256.0,0.0,215.0,54.0
1590.0,-208.99999999999997,256.0,0.0,234.0,47.0
1591.0,-197.8,256.0,0.0,224.0,73.0
1592.0,-181.00000000000006,256.0,0.0,214.0,64.0
1593.0,-187.40000000000003,256.0,0.0,228.0,62.0
1594.0,-224.2,256.0,0.0,195.0,39.0
1595.0,-205.40000000000003,256.0,0.0,224.0,47.0
1596.0,-208.99999999999994,256.0,0.0,234.0,47.0
1597.0,-185.20000000000002,256.0,0.0,234.0,66.0
1598.0,-208.8,256.0,0.0,201.0,44.0
1599.0,-202.8,256.0,0.0,193.0,52.0
1600.0,-210.2,256.0,0.0,212.0,51.0
1601.0,-212.60000000000002,256.0,0.0,234.0,38.0
1602.0,-201.4,256.0,0.0,234.0,50.0
1603.0,-206.40000000000003,256.0,0.0,216.0,49.0
1604.0,-199.0,256.0,0.0,215.0,59.0
1605.0,-193.40000000000003,256.0,0.0,189.0,49.0
1606.0,-209.39999999999998,256.0,0.0,234.0,54.0
1607.0,-201.4000000000001,256.0,0.0,207.0,53.0
1608.0,-211.40000000000003,256.0,0.0,219.0,44.0
1609.0,-190.40000000000006,256.0,0.0,212.0,58.0
1610.0,-203.40000000000006,256.0,0.0,209.0,45.0
1611.0,-197.0,256.0,0.0,231.0,53.0
1612.0,-226.0,256.0,0.0,221.0,44.0
1613.0,-211.00000000000006,256.0,0.0,228.0,43.0
1614.0,-196.79999999999998,256.0,0.0,234.0,50.0
1615.0,-212.19999999999993,256.0,0.0,217.0,44.0
1616.0,-213.20000000000005,256.0,0.0,209.0,37.0
1617.0,-203.60000000000005,256.0,0.0,234.0,62.0
1618.0,-194.00000000000003,256.0,0.0,234.0,55.0
1619.0,-195.0,256.0,0.0,234.0,61.0
1620.0,-192.8,256.0,0.0,234.0,70.0
1621.0,-223.0,256.0,0.0,220.0,36.0
1622.0,-208.8,256.0,0.0,228.0,47.0
1623.0,-201.0,256.0,0.0,234.0,51.0
1624.0,-191.8,256.0,0.0,234.0,63.0
1625.0,-230.99999999999994,256.0,0.0,197.0,49.0
1626.0,-197.80000000000007,256.0,0.0,215.0,57.0
1627.0,-182.8,256.0,0.0,234.0,72.0
1628.0,-204.4,256.0,0.0,223.0,54.0
1629.0,-198.20000000000007,256.0,0.0,190.0,59.0
1630.0,-201.8,256.0,0.0,234.0,47.0
1631.0,-210.40000000000006,256.0,0.0,218.0,62.0
1632.0,-195.39999999999998,256.0,0.0,234.0,56.0
1633.0,-217.20000000000005,256.0,0.0,217.0,36.0
1634.0,-208.00000000000006,256.0,0.0,195.0,42.0
1635.0,-201.99999999999994,256.0,0.0,234.0,54.0
1636.0,-230.19999999999993,256.0,0.0,204.0,28.0
1637.0,-212.6,256.0,0.0,212.0,50.0
1638.0,-190.2,256.0,0.0,211.0,65.0
1639.0,-206.00000000000006,256.0,0.0,194.0,54.0
1640.0,-195.20000000000005,256.0,0.0,234.0,56.0
1641.0,-204.79999999999998,256.0,0.0,221.0,51.0
1642.0,-205.8,256.0,0.0,207.0,45.0
1643.0,-201.39999999999995,256.0,0.0,204.0,51.0
1644.0,-187.80000000000004,256.0,0.0,234.0,68.0
1645.0,-198.19999999999993,256.0,0.0,234.0,51.0
1646.0,-211.8,256.0,0.0,209.0,43.0
1647.0,-209.59999999999997,256.0,0.0,208.0,38.0
1648.0,-198.0,256.0,0.0,229.0,58.0
1649.0,-198.2,256.0,0.0,234.0,57.0
1650.0,-196.8,256.0,0.0,234.0,52.0
1651.0,-190.00000000000003,256.0,0.0,217.0,60.0
1652.0,-198.79999999999998,256.0,0.0,225.0,56.0
1653.0,-200.6,256.0,0.0,234.0,60.0
1654.0,-201.00000000000006,256.0,0.0,221.0,57.0
1655.0,-208.6,256.0,0.0,234.0,53.0
1656.0,-202.0,256.0,0.0,234.0,52.0
1657.0,-183.2,256.0,0.0,223.0,68.0
1658.0,-204.0,256.0,0.0,191.0,60.0
1659.0,-201.6,256.0,0.0,234.0,56.0
1660.0,-184.0,256.0,0.0,232.0,66.0
1661.0,-201.00000000000006,256.0,0.0,234.0,57.0
1662.0,-186.79999999999998,256.0,0.0,226.0,68.0
1663.0,-204.19999999999993,256.0,0.0,212.0,45.0
1664.0,-205.40000000000003,256.0,0.0,195.0,55.0
1665.0,-202.20000000000005,256.0,0.0,222.0,49.0
1666.0,-214.19999999999993,256.0,0.0,192.0,50.0
1667.0,-215.40000000000003,256.0,0.0,234.0,46.0
1668.0,-186.6,256.0,0.0,202.0,58.0
1669.0,-203.59999999999997,256.0,0.0,219.0,45.0
1670.0,-211.6,256.0,0.0,213.0,48.0
1671.0,-191.39999999999998,256.0,0.0,231.0,61.0
1672.0,-184.0,256.0,0.0,234.0,72.0
1673.0,-212.2,256.0,0.0,222.0,46.0
1674.0,-213.0,256.0,0.0,203.0,44.0
1675.0,-206.8,256.0,0.0,233.0,48.0
1676.0,-190.40000000000003,256.0,0.0,234.0,62.0
1677.0,-195.20000000000007,256.0,0.0,228.0,51.0
1678.0,-224.4,256.0,0.0,221.0,44.0
1679.0,-184.20000000000005,256.0,0.0,234.0,75.0
1680.0,-204.8,256.0,0.0,221.0,50.0
1681.0,-201.80000000000004,256.0,0.0,221.0,47.0
1682.0,-205.60000000000005,256.0,0.0,197.0,43.0
1683.0,-209.40000000000006,256.0,0.0,203.0,48.0
1684.0,-192.0,256.0,0.0,234.0,64.0
1685.0,-201.60000000000002,256.0,0.0,220.0,48.0
1686.0,-198.80000000000007,256.0,0.0,224.0,57.0
1687.0,-209.20000000000005,256.0,0.0,200.0,46.0
1688.0,-216.19999999999993,256.0,0.0,193.0,36.0
1689.0,-198.39999999999998,256.0,0.0,234.0,52.0
1690.0,-203.40000000000003,256.0,0.0,219.0,60.0
1691.0,-182.6,256.0,0.0,228.0,65.0
1692.0,-212.8000000000001,256.0,0.0,182.0,48.0
1693.0,-192.99999999999997,256.0,0.0,225.0,63.0
1694.0,-199.99999999999997,256.0,0.0,228.0,49.0
1695.0,-191.8,256.0,0.0,234.0,59.0
1696.0,-195.0,256.0,0.0,188.0,50.0
1697.0,-207.0,256.0,0.0,234.0,49.0
1698.0,-192.60000000000002,256.0,0.0,219.0,61.0
1699.0,-209.0,256.0,0.0,234.0,47.0
1700.0,-204.0,256.0,0.0,234.0,48.0
1701.0,-207.8,256.0,0.0,234.0,47.0
1702.0,-208.60000000000002,256.0,0.0,228.0,41.0
1703.0,-216.0,256.0,0.0,220.0,48.0
1704.0,-192.60000000000002,256.0,0.0,221.0,61.0
1705.0,-191.0,256.0,0.0,232.0,63.0
1706.0,-217.79999999999995,256.0,0.0,234.0,44.0
1707.0,-210.4,256.0,0.0,217.0,50.0
1708.0,-185.2,256.0,0.0,210.0,62.0
1709.0,-208.6,256.0,0.0,230.0,51.0
1710.0,-188.20000000000005,256.0,0.0,222.0,63.0
1711.0,-207.6,256.0,0.0,230.0,46.0
1712.0,-199.79999999999995,256.0,0.0,234.0,63.0
1713.0,-210.0,256.0,0.0,200.0,54.0
1714.0,-216.60000000000005,256.0,0.0,214.0,49.0
1715.0,-190.60000000000002,256.0,0.0,234.0,63.0
1716.0,-207.2,256.0,0.0,234.0,52.0
1717.0,-210.39999999999995,256.0,0.0,227.0,42.0
1718.0,-203.6,256.0,0.0,234.0,50.0
1719.0,-204.59999999999997,256.0,0.0,192.0,47.0
1720.0,-205.00000000000003,256.0,0.0,208.0,54.0
1721.0,-222.99999999999994,256.0,0.0,210.0,41.0
1722.0,-195.19999999999993,256.0,0.0,187.0,50.0
1723.0,-208.79999999999995,256.0,0.0,219.0,46.0
1724.0,-201.40000000000003,256.0,0.0,227.0,51.0
1725.0,-201.2,256.0,0.0,234.0,53.0
1726.0,-206.0000000000001,256.0,0.0,205.0,41.0
1727.0,-189.39999999999998,256.0,0.0,234.0,59.0
1728.0,-191.39999999999998,256.0,0.0,234.0,61.0
1729.0,-209.8,256.0,0.0,234.0,51.0
1730.0,-226.2,256.0,0.0,211.0,42.0
1731.0,-202.8,256.0,0.0,221.0,46.0
1732.0,-202.0,256.0,0.0,234.0,48.0
1733.0,-193.0,256.0,0.0,234.0,63.0
1734.0,-192.59999999999997,256.0,0.0,225.0,61.0
1735.0,-182.60000000000002,256.0,0.0,234.0,65.0
1736.0,-207.99999999999997,256.0,0.0,234.0,48.0
1737.0,-201.99999999999994,256.0,0.0,213.0,52.0
1738.0,-194.20000000000002,256.0,0.0,207.0,53.0
1739.0,-196.0,256.0,0.0,234.0,68.0
1740.0,-209.6,256.0,0.0,214.0,52.0
1741.0,-202.39999999999995,256.0,0.0,228.0,47.0
1742.0,-208.0,256.0,0.0,234.0,56.0
1743.0,-195.99999999999994,256.0,0.0,223.0,54.0
1744.0,-184.40000000000006,256.0,0.0,172.0,58.0
1745.0,-229.8,256.0,0.0,224.0,35.0
1746.0,-184.0,256.0,0.0,207.0,63.0
1747.0,-205.20000000000005,256.0,0.0,219.0,45.0
1748.0,-197.00000000000006,256.0,0.0,234.0,61.0
1749.0,-210.4,256.0,0.0,232.0,34.0
1750.0,-223.39999999999995,256.0,0.0,203.0,47.0
1751.0,-187.00000000000003,256.0,0.0,234.0,57.0
1752.0,-210.4,256.0,0.0,220.0,48.0
1753.0,-194.8,256.0,0.0,234.0,60.0
1754.0,-205.79999999999998,256.0,0.0,234.0,57.0
1755.0,-193.20000000000007,256.0,0.0,226.0,50.0
1756.0,-199.40000000000003,256.0,0.0,212.0,55.0
1757.0,-197.00000000000003,256.0,0.0,214.0,53.0
1758.0,-208.40000000000003,256.0,0.0,230.0,48.0
1759.0,-212.39999999999998,256.0,0.0,221.0,36.0
1760.0,-203.99999999999997,256.0,0.0,219.0,54.0
1761.0,-193.0,256.0,0.0,225.0,56.0
1762.0,-205.0,256.0,0.0,218.0,43.0
1763.0,-189.60000000000008,256.0,0.0,219.0,57.0
1764.0,-211.00000000000006,256.0,0.0,234.0,45.0
1765.0,-197.2,256.0,0.0,224.0,45.0
1766.0,-188.20000000000005,256.0,0.0,234.0,71.0
1767.0,-187.20000000000005,256.0,0.0,234.0,66.0
1768.0,-199.0,256.0,0.0,210.0,55.0
1769.0,-207.0,256.0,0.0,234.0,49.0
1770.0,-200.2,256.0,0.0,234.0,51.0
1771.0,-216.99999999999997,256.0,0.0,215.0,41.0
1772.0,-202.0,256.0,0.0,234.0,54.0
1773.0,-193.8,256.0,0.0,208.0,53.0
1774.0,-174.8,256.0,0.0,234.0,80.0
1775.0,-213.2,256.0,0.0,204.0,45.0
1776.0,-206.40000000000003,256.0,0.0,234.0,48.0
1777.0,-225.99999999999997,256.0,0.0,180.0,42.0
1778.0,-186.4,256.0,0.0,234.0,66.0
1779.0,-204.4,256.0,0.0,234.0,60.0
1780.0,-232.20000000000005,256.0,0.0,206.0,43.0
1781.0,-202.5999999999999,256.0,0.0,211.0,57.0
1782.0,-199.20000000000005,256.0,0.0,228.0,60.0
1783.0,-188.8,256.0,0.0,234.0,66.0
1784.0,-210.59999999999997,256.0,0.0,230.0,40.0
1785.0,-206.99999999999997,256.0,0.0,230.0,50.0
1786.0,-207.8,256.0,0.0,218.0,47.0
1787.0,-203.0,256.0,0.0,234.0,53.0
1788.0,-212.19999999999993,256.0,0.0,234.0,42.0
1789.0,-201.00000000000003,256.0,0.0,204.0,38.0
1790.0,-190.8,256.0,0.0,234.0,64.0
1791.0,-202.20000000000002,256.0,0.0,234.0,58.0
1792.0,-184.79999999999998,256.0,0.0,234.0,70.0
1793.0,-195.8,256.0,0.0,234.0,59.0
1794.0,-201.60000000000002,256.0,0.0,223.0,52.0
1795.0,-210.0,256.0,0.0,204.0,44.0
1796.0,-189.0,256.0,0.0,234.0,67.0
1797.0,-214.8,256.0,0.0,213.0,36.0
1798.0,-196.40000000000003,256.0,0.0,234.0,62.0
1799.0,-211.59999999999997,256.0,0.0,199.0,50.0
1800.0,-212.2,256.0,0.0,234.0,41.0
1801.0,-206.79999999999998,256.0,0.0,234.0,51.0
1802.0,-219.0,256.0,0.0,188.0,38.0
1803.0,-210.0,256.0,0.0,234.0,54.0
1804.0,-229.79999999999995,256.0,0.0,196.0,50.0
1805.0,-195.4,256.0,0.0,196.0,47.0
1806.0,-184.8,256.0,0.0,202.0,65.0
1807.0,-197.59999999999997,256.0,0.0,219.0,64.0
1808.0,-200.80000000000004,256.0,0.0,219.0,48.0
1809.0,-223.39999999999998,256.0,0.0,234.0,37.0
1810.0,-189.80000000000007,256.0,0.0,221.0,55.0
1811.0,-204.60000000000002,256.0,0.0,192.0,51.0
1812.0,-199.40000000000003,256.0,0.0,216.0,57.0
1813.0,-177.8,256.0,0.0,234.0,74.0
1814.0,-206.19999999999996,256.0,0.0,234.0,47.0
1815.0,-203.60000000000002,256.0,0.0,234.0,58.0
1816.0,-196.80000000000007,256.0,0.0,234.0,48.0
1817.0,-202.0,256.0,0.0,234.0,54.0
1818.0,-203.00000000000006,256.0,0.0,204.0,43.0
1819.0,-183.4,256.0,0.0,234.0,69.0
1820.0,-207.40000000000006,256.0,0.0,217.0,47.0
1821.0,-190.8,256.0,0.0,215.0,64.0
1822.0,-190.79999999999998,256.0,0.0,234.0,64.0
1823.0,-206.0,256.0,0.0,234.0,47.0
1824.0,-187.0,256.0,0.0,218.0,59.0
1825.0,-203.0,256.0,0.0,218.0,50.0
1826.0,-219.0,256.0,0.0,225.0,43.0
1827.0,-207.8,256.0,0.0,226.0,41.0
1828.0,-203.8,256.0,0.0,214.0,49.0
1829.0,-206.0,256.0,0.0,231.0,50.0
1830.0,-195.80000000000007,256.0,0.0,230.0,59.0
1831.0,-227.40000000000003,256.0,0.0,221.0,43.0
1832.0,-194.6,256.0,0.0,164.0,46.0
1833.0,-205.19999999999987,256.0,0.0,151.0,56.0
1834.0,-218.79999999999995,256.0,0.0,216.0,40.0
1835.0,-197.40000000000003,256.0,0.0,234.0,53.0
1836.0,-199.6,256.0,0.0,196.0,44.0
1837.0,-190.40000000000003,256.0,0.0,223.0,61.0
1838.0,-227.6,256.0,0.0,205.0,42.0
1839.0,-198.60000000000002,256.0,0.0,234.0,55.0
1840.0,-205.8,256.0,0.0,234.0,49.0
1841.0,-187.39999999999998,256.0,0.0,234.0,58.0
1842.0,-205.39999999999998,256.0,0.0,220.0,51.0
1843.0,-201.80000000000004,256.0,0.0,234.0,53.0
1844.0,-190.79999999999995,256.0,0.0,199.0,58.0
1845.0,-213.20000000000002,256.0,0.0,177.0,40.0
1846.0,-189.0,256.0,0.0,234.0,66.0
1847.0,-203.2,256.0,0.0,234.0,48.0
1848.0,-228.19999999999996,256.0,0.0,218.0,43.0
1849.0,-206.8,256.0,0.0,229.0,48.0
1850.0,-218.80000000000007,256.0,0.0,214.0,44.0
1851.0,-208.39999999999998,256.0,0.0,234.0,42.0
1852.0,-193.00000000000006,256.0,0.0,224.0,57.0
1853.0,-188.20000000000002,256.0,0.0,220.0,61.0
1854.0,-206.60000000000002,256.0,0.0,221.0,45.0
1855.0,-208.79999999999998,256.0,0.0,215.0,46.0
1856.0,-203.0,256.0,0.0,228.0,48.0
1857.0,-200.99999999999994,256.0,0.0,232.0,48.0
1858.0,-215.0,256.0,0.0,234.0,51.0
1859.0,-213.4,256.0,0.0,234.0,47.0
1860.0,-211.0,256.0,0.0,234.0,53.0
1861.0,-201.79999999999995,256.0,0.0,234.0,53.0
1862.0,-231.99999999999997,256.0,0.0,225.0,37.0
1863.0,-189.8,256.0,0.0,232.0,65.0
1864.0,-190.0,256.0,0.0,234.0,66.0
1865.0,-213.99999999999997,256.0,0.0,191.0,46.0
1866.0,-207.60000000000002,256.0,0.0,221.0,54.0
1867.0,-203.60000000000002,256.0,0.0,217.0,58.0
1868.0,-212.59999999999997,256.0,0.0,228.0,42.0
1869.0,-191.2,256.0,0.0,217.0,55.0
1870.0,-201.40000000000003,256.0,0.0,219.0,49.0
1871.0,-200.00000000000003,256.0,0.0,193.0,55.0
1872.0,-204.8,256.0,0.0,187.0,47.0
1873.0,-193.79999999999998,256.0,0.0,234.0,61.0
1874.0,-196.80000000000004,256.0,0.0,202.0,51.0
1875.0,-211.8,256.0,0.0,234.0,43.0
1876.0,-195.0,256.0,0.0,234.0,61.0
1877.0,-210.2,256.0,0.0,210.0,51.0
1878.0,-216.99999999999997,256.0,0.0,204.0,47.0
1879.0,-201.8,256.0,0.0,233.0,50.0
1880.0,-229.2,256.0,0.0,218.0,38.0
1881.0,-187.59999999999997,256.0,0.0,234.0,66.0
1882.0,-186.8,256.0,0.0,216.0,65.0
1883.0,-199.8,256.0,0.0,234.0,53.0
1884.0,-200.79999999999995,256.0,0.0,209.0,56.0
1885.0,-189.40000000000003,256.0,0.0,234.0,69.0
1886.0,-197.40000000000003,256.0,0.0,234.0,55.0
1887.0,-188.39999999999998,256.0,0.0,234.0,62.0
1888.0,-205.19999999999993,256.0,0.0,209.0,47.0
1889.0,-197.40000000000003,256.0,0.0,226.0,51.0
1890.0,-183.8,256.0,0.0,234.0,71.0
1891.0,-185.59999999999997,256.0,0.0,234.0,76.0
1892.0,-191.60000000000005,256.0,0.0,225.0,56.0
1893.0,-215.4,256.0,0.0,234.0,45.0
1894.0,-197.59999999999997,256.0,0.0,234.0,60.0
1895.0,-217.0,256.0,0.0,231.0,47.0
1896.0,-200.0,256.0,0.0,220.0,48.0
1897.0,-191.8,256.0,0.0,224.0,63.0
1898.0,-193.20000000000005,256.0,0.0,185.0,57.0
1899.0,-197.39999999999998,256.0,0.0,215.0,51.0
1900.0,-217.40000000000003,256.0,0.0,161.0,49.0
1901.0,-220.8,256.0,0.0,227.0,40.0
1902.0,-188.8,256.0,0.0,234.0,66.0
1903.0,-195.0,256.0,0.0,234.0,61.0
1904.0,-186.60000000000002,256.0,0.0,233.0,60.0
1905.0,-206.20000000000002,256.0,0.0,226.0,45.0
1906.0,-218.2,256.0,0.0,189.0,40.0
1907.0,-181.0,256.0,0.0,183.0,71.0
1908.0,-194.4,256.0,0.0,234.0,57.0
1909.0,-203.8,256.0,0.0,224.0,54.0
1910.0,-211.60000000000002,256.0,0.0,199.0,48.0
1911.0,-206.0,256.0,0.0,223.0,45.0
1912.0,-210.2,256.0,0.0,228.0,55.0
1913.0,-193.79999999999998,256.0,0.0,214.0,61.0
1914.0,-211.79999999999998,256.0,0.0,233.0,45.0
1915.0,-201.0,256.0,0.0,234.0,55.0
1916.0,-203.20000000000005,256.0,0.0,214.0,44.0
1917.0,-191.40000000000003,256.0,0.0,217.0,60.0
1918.0,-205.8,256.0,0.0,234.0,49.0
1919.0,-202.39999999999998,256.0,0.0,203.0,53.0
1920.0,-216.40000000000003,256.0,0.0,212.0,50.0
1921.0,-222.8,256.0,0.0,193.0,46.0
1922.0,-189.79999999999995,256.0,0.0,219.0,59.0
1923.0,-203.0,256.0,0.0,234.0,53.0
1924.0,-198.8,256.0,0.0,234.0,60.0
1925.0,-200.99999999999997,256.0,0.0,234.0,55.0
1926.0,-218.6,256.0,0.0,234.0,43.0
1927.0,-214.00000000000006,256.0,0.0,234.0,47.0
1928.0,-202.79999999999995,256.0,0.0,234.0,52.0
1929.0,-207.00000000000009,256.0,0.0,234.0,43.0
1930.0,-192.40000000000003,256.0,0.0,234.0,60.0
1931.0,-180.40000000000003,256.0,0.0,234.0,72.0
1932.0,-201.6,256.0,0.0,233.0,53.0
1933.0,-205.99999999999997,256.0,0.0,231.0,52.0
1934.0,-190.39999999999998,256.0,0.0,234.0,63.0
1935.0,-205.4,256.0,0.0,226.0,47.0
1936.0,-208.4,256.0,0.0,198.0,52.0
1937.0,-207.39999999999998,256.0,0.0,197.0,44.0
1938.0,-191.4,256.0,0.0,215.0,55.0
1939.0,-189.0,256.0,0.0,200.0,61.0
1940.0,-209.59999999999997,256.0,0.0,223.0,46.0
1941.0,-193.60000000000002,256.0,0.0,194.0,59.0
1942.0,-187.0,256.0,0.0,214.0,58.0
1943.0,-212.39999999999998,256.0,0.0,234.0,42.0
1944.0,-207.2,256.0,0.0,224.0,53.0
1945.0,-185.99999999999997,256.0,0.0,171.0,60.0
1946.0,-189.8,256.0,0.0,226.0,65.0
1947.0,-176.6,256.0,0.0,231.0,69.0
1948.0,-219.0,256.0,0.0,207.0,45.0
1949.0,-198.8,256.0,0.0,223.0,56.0
1950.0,-189.0,256.0,0.0,234.0,67.0
1951.0,-199.20000000000002,256.0,0.0,234.0,58.0
1952.0,-212.00000000000006,256.0,0.0,234.0,46.0
1953.0,-193.20000000000005,256.0,0.0,226.0,59.0
1954.0,-199.39999999999998,256.0,0.0,234.0,49.0
1955.0,-198.79999999999998,256.0,0.0,205.0,54.0
1956.0,-193.6,256.0,0.0,215.0,65.0
1957.0,-210.8,256.0,0.0,234.0,41.0
1958.0,-217.00000000000006,256.0,0.0,219.0,48.0
1959.0,-192.0,256.0,0.0,230.0,55.0
1960.0,-194.19999999999993,256.0,0.0,234.0,59.0
1961.0,-209.8,256.0,0.0,207.0,53.0
1962.0,-194.0,256.0,0.0,227.0,62.0
1963.0,-218.39999999999998,256.0,0.0,217.0,48.0
1964.0,-195.20000000000002,256.0,0.0,234.0,55.0
1965.0,-197.8,256.0,0.0,234.0,57.0
1966.0,-182.40000000000003,256.0,0.0,234.0,70.0
1967.0,-227.40000000000003,256.0,0.0,207.0,41.0
1968.0,-191.0,256.0,0.0,214.0,58.0
1969.0,-202.79999999999995,256.0,0.0,225.0,50.0
1970.0,-206.0,256.0,0.0,204.0,51.0
1971.0,-201.80000000000007,256.0,0.0,222.0,63.0
1972.0,-214.0,256.0,0.0,215.0,46.0
1973.0,-204.40000000000003,256.0,0.0,212.0,50.0
1974.0,-184.79999999999995,256.0,0.0,212.0,52.0
1975.0,-205.39999999999998,256.0,0.0,187.0,53.0
1976.0,-205.60000000000002,256.0,0.0,202.0,50.0
1977.0,-192.2,256.0,0.0,234.0,61.0
1978.0,-213.8,256.0,0.0,233.0,49.0
1979.0,-197.79999999999998,256.0,0.0,234.0,65.0
1980.0,-192.79999999999995,256.0,0.0,234.0,62.0
1981.0,-199.0,256.0,0.0,234.0,57.0
1982.0,-203.0,256.0,0.0,199.0,50.0
1983.0,-203.0,256.0,0.0,203.0,47.0
1984.0,-206.0,256.0,0.0,234.0,50.0
1985.0,-197.79999999999998,256.0,0.0,234.0,61.0
1986.0,-194.39999999999998,256.0,0.0,230.0,52.0
1987.0,-218.0,256.0,0.0,225.0,38.0
1988.0,-202.99999999999997,256.0,0.0,232.0,53.0
1989.0,-186.0,256.0,0.0,234.0,70.0
1990.0,-196.59999999999997,256.0,0.0,234.0,59.0
1991.0,-199.59999999999997,256.0,0.0,221.0,48.0
1992.0,-197.4,256.0,0.0,234.0,51.0
1993.0,-191.0,256.0,0.0,234.0,61.0
1994.0,-197.20000000000005,256.0,0.0,234.0,54.0
1995.0,-196.79999999999993,256.0,0.0,197.0,47.0
1996.0,-207.2,256.0,0.0,222.0,44.0
1997.0,-199.8,256.0,0.0,233.0,55.0
1998.0,-205.79999999999998,256.0,0.0,220.0,56.0
1999.0,-191.6,256.0,0.0,225.0,63.0
2000.0,-189.00000000000006,256.0,0.0,228.0,61.0
2001.0,-218.4,256.0,0.0,233.0,36.0
2002.0,-189.0,256.0,0.0,234.0,67.0
2003.0,-183.6,256.0,0.0,199.0,53.0
2004.0,-196.19999999999996,256.0,0.0,198.0,55.0
2005.0,-198.39999999999998,256.0,0.0,207.0,56.0
2006.0,-199.0,256.0,0.0,204.0,49.0
2007.0,-186.0,256.0,0.0,234.0,70.0
2008.0,-198.8,256.0,0.0,218.0,53.0
2009.0,-223.0,256.0,0.0,219.0,42.0
2010.0,-209.60000000000002,256.0,0.0,208.0,45.0
2011.0,-206.79999999999993,256.0,0.0,192.0,50.0
